customer_id,name,email,account_type,ip_address,region
1,Customer_1,user_1@example.com,Existing Account,192.168.14.8,TAS
2,Customer_2,user_2@example.com,Existing Account,192.168.193.148,SA
3,Customer_3,user_3@example.com,Existing Account,192.168.200.13,NSW
4,Customer_4,user_4@example.com,Existing Account,192.168.24.205,NSW
5,Customer_5,user_5@example.com,Existing Account,192.168.69.211,VIC
6,Customer_6,user_6@example.com,Existing Account,192.168.68.210,VIC
7,Customer_7,user_7@example.com,Existing Account,192.168.49.190,TAS
8,Customer_8,user_8@example.com,Existing Account,192.168.11.209,SA
9,Customer_9,user_9@example.com,New Unrecognized Account,192.168.120.141,TAS
10,Customer_10,user_10@example.com,New Unrecognized Account,192.168.5.121,TAS
11,Customer_11,user_11@example.com,New Unrecognized Account,192.168.173.173,NSW
12,Customer_12,user_12@example.com,New Unrecognized Account,192.168.168.17,WA
13,Customer_13,user_13@example.com,Existing Account,192.168.223.199,VIC
14,Customer_14,user_14@example.com,Existing Account,192.168.96.140,NSW
15,Customer_15,user_15@example.com,New Unrecognized Account,192.168.183.84,QLD
16,Customer_16,user_16@example.com,Existing Account,192.168.174.46,TAS
17,Customer_17,user_17@example.com,Existing Account,192.168.251.1,TAS
18,Customer_18,user_18@example.com,Existing Account,192.168.200.243,WA
19,Customer_19,user_19@example.com,Existing Account,192.168.64.159,TAS
20,Customer_20,user_20@example.com,Existing Account,192.168.163.245,NSW
21,Customer_21,user_21@example.com,Existing Account,192.168.222.155,SA
22,Customer_22,user_22@example.com,New Unrecognized Account,192.168.97.199,QLD
23,Customer_23,user_23@example.com,Existing Account,192.168.22.8,QLD
24,Customer_24,user_24@example.com,Existing Account,192.168.2.26,SA
25,Customer_25,user_25@example.com,Existing Account,192.168.86.249,VIC
26,Customer_26,user_26@example.com,New Unrecognized Account,192.168.192.70,QLD
27,Customer_27,user_27@example.com,Existing Account,192.168.187.167,QLD
28,Customer_28,user_28@example.com,Existing Account,192.168.210.201,TAS
29,Customer_29,user_29@example.com,Existing Account,192.168.155.51,VIC
30,Customer_30,user_30@example.com,Existing Account,192.168.80.95,SA
31,Customer_31,user_31@example.com,New Unrecognized Account,192.168.201.174,WA
32,Customer_32,user_32@example.com,Existing Account,192.168.88.32,QLD
33,Customer_33,user_33@example.com,Existing Account,192.168.106.253,QLD
34,Customer_34,user_34@example.com,Existing Account,192.168.212.79,SA
35,Customer_35,user_35@example.com,Existing Account,192.168.116.88,WA
36,Customer_36,user_36@example.com,Existing Account,192.168.241.60,WA
37,Customer_37,user_37@example.com,Existing Account,192.168.10.208,QLD
38,Customer_38,user_38@example.com,New Unrecognized Account,192.168.134.176,QLD
39,Customer_39,user_39@example.com,Existing Account,192.168.69.205,SA
