Signup_Date,Name,Email,Phone,Product_Type,Plan_Tier,Delivery_Method,Account_Type,Linked_Accounts_Count,Voice_Accent_Anomaly_Flag,Completion_Time,IP_Address,Fraud_Risk_Flag
2024-10-15,Louis Johnson,stephen59@example.org,+61-491-620-034,5G Mobile Plan,Premium,eSIM via App,New Unrecognized Account,0,None,528,194.125.58.216,0
2026-03-01,Corey Barker,xrussell@example.com,0736428918,5G Mobile Plan,Premium,eSIM via App,Existing Account,1,None,527,199.163.120.98,0
2025-11-12,Jennifer Stein,laurenshah@example.org,(08) 7743 9720,5G Mobile Plan,Basic,Physical SIM,Existing Account,2,None,206,185.36.44.156,0
2025-02-02,Johnny Roberts,yangteresa@example.org,+61.8.3588.5595,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,1,None,83,40.243.184.140,0
2026-04-22,Nicholas Hanson,teresamccarthy@example.com,(07) 9886 8278,5G Mobile Plan,Essential,Physical SIM,Existing Account,0,None,263,163.52.198.47,0
2026-03-20,Debra Holmes,gonzalezgrant@example.com,0422 150 550,5G Mobile Plan,Essential,eSIM via App,Existing Account,2,None,570,73.76.19.185,0
2024-07-16,Alan Valdez,joshua76@example.com,+61 468 274 756,NBN Fixed Internet,NBN Standard,eSIM via App,New Unrecognized Account,0,None,401,103.191.60.69,0
2026-06-08,Javier James,mark75@example.com,0757409136,5G Mobile Plan,Essential,Physical SIM,Existing Account,1,None,474,121.54.151.25,0
2024-11-06,Devin Wade,juliapadilla@example.org,(02)60567431,5G Mobile Plan,Premium,Physical SIM,New Unrecognized Account,1,None,255,159.207.102.241,0
2024-12-04,Eric Rice,qcisneros@example.com,07.8623.0841,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,2,None,546,112.153.145.40,0
2024-04-10,Daniel Hughes,vproctor@example.com,07 5458 2747,5G Mobile Plan,Essential,Physical SIM,New Unrecognized Account,0,None,218,157.152.95.212,0
2025-01-24,Francisco Weber,allenbeltran@example.com,(02) 3771 1900,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,2,None,116,194.151.152.113,0
2024-10-23,Tammy Mccarthy,williamrodriguez@example.com,07 2855 3595,5G Mobile Plan,Basic,eSIM via App,Existing Account,1,None,405,34.11.223.35,0
2025-07-26,Joseph Collins,bradley05@example.org,0497.889.288,5G Mobile Plan,Essential,Physical SIM,Existing Account,1,None,50,196.153.96.42,0
2025-11-16,Todd Reese,porterstephanie@example.org,07.9642.9305,5G Mobile Plan,Premium,eSIM via App,Existing Account,2,None,165,163.209.182.7,0
2024-05-27,Ashley Chen,fvincent@example.org,+61.7.6643.4420,5G Mobile Plan,Premium,Physical SIM,New Unrecognized Account,1,None,562,5.29.115.88,0
2024-01-12,Billy Ingram,galvanalexander@example.com,0469-932-821,5G Mobile Plan,Essential,Physical SIM,Existing Account,0,None,215,191.131.27.131,0
2025-12-12,Shawn Ellis,nicole26@example.org,+61318007453,5G Mobile Plan,Premium,Physical SIM,New Unrecognized Account,0,None,85,59.188.230.81,0
2026-02-08,Anthony Thompson,phillipsbenjamin@example.org,0457.952.120,5G Mobile Plan,Premium,Physical SIM,Existing Account,1,None,93,132.72.237.57,0
2024-09-21,Robert Lloyd,foxjorge@example.net,0498 592 503,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,0,None,324,175.92.83.179,0
2024-05-16,Maria Ruiz,oneillkelly@example.org,(08).6055.9818,NBN Fixed Internet,NBN Standard,eSIM via App,New Unrecognized Account,2,None,584,87.151.171.87,0
2024-09-05,Chelsea York,taylorkatherine@example.net,(07) 4989 3482,5G Mobile Plan,Basic,eSIM via App,Existing Account,0,None,92,144.29.76.113,0
2024-11-10,Mary Collier,damonschmidt@example.com,+61898329882,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,1,None,492,124.148.149.249,0
2025-12-05,Brianna Valencia,bgreen@example.com,(02)37952654,5G Mobile Plan,Basic,Physical SIM,Existing Account,0,None,227,162.6.110.88,0
2026-01-13,Stephen Osborn,ricardo73@example.org,0489-104-267,NBN Fixed Internet,NBN Standard,Physical SIM,New Unrecognized Account,0,None,548,51.152.71.132,0
2025-07-07,Susan Henderson,nathanielgoodwin@example.org,0892332429,5G Mobile Plan,Basic,eSIM via App,New Unrecognized Account,2,None,242,153.215.2.190,0
2024-01-10,Tammy Stewart,kcampbell@example.com,0444 966 711,5G Mobile Plan,Basic,Physical SIM,Existing Account,1,None,218,210.151.160.49,0
2025-05-12,Michael Morales,grahamtammy@example.org,(03) 4736 7229,5G Mobile Plan,Basic,Physical SIM,Existing Account,1,None,96,15.11.181.66,0
2026-07-10,Matthew Carter,robert09@example.com,+61 407 608 454,5G Mobile Plan,Basic,Physical SIM,Existing Account,2,None,380,68.10.212.41,0
2025-09-27,Jeffery Wilkins,icruz@example.com,7296.6717,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,1,None,112,116.184.171.110,0
