Signup_Date,Name,Email,Phone,Product_Type,Plan_Tier,Delivery_Method,Account_Type,Linked_Accounts_Count,Voice_Accent_Anomaly_Flag,Completion_Time,IP_Address,Fraud_Risk_Flag
2024-10-15,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,5G Mobile Plan,Premium,eSIM via App,New Unrecognized Account,0,,528,194.125.58.216,0
2026-03-01,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,5G Mobile Plan,Premium,eSIM via App,Existing Account,1,,527,199.163.120.98,0
2025-11-12,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,5G Mobile Plan,Basic,Physical SIM,Existing Account,2,,206,185.36.44.156,0
2025-02-02,<PERSON>,<EMAIL_ADDRESS>,+61.8.3588.5595,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,1,,83,40.243.184.140,0
2026-04-22,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,5G Mobile Plan,Essential,Physical SIM,Existing Account,0,,263,163.52.198.47,0
2026-03-20,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,5G Mobile Plan,Essential,eSIM via App,Existing Account,2,,570,73.76.19.185,0
2024-07-16,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,NBN Fixed Internet,NBN Standard,eSIM via App,New Unrecognized Account,0,,401,103.191.60.69,0
2026-06-08,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,5G Mobile Plan,Essential,Physical SIM,Existing Account,1,,474,121.54.151.25,0
2024-11-06,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,5G Mobile Plan,Premium,Physical SIM,New Unrecognized Account,1,,255,159.207.102.241,0
2024-12-04,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,2,,546,112.153.145.40,0
2024-04-10,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,5G Mobile Plan,Essential,Physical SIM,New Unrecognized Account,0,,218,157.152.95.212,0
2025-01-24,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,NBN Fixed Internet,NBN Standard,eSIM via App,Existing Account,2,,116,194.151.152.113,0
2024-10-23,<PERSON>,<EMAIL_ADDRESS>,07 2855 3595,5G Mobile Plan,Basic,eSIM via App,Existing Account,1,,405,34.11.223.35,0
2025-07-26,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,5G Mobile Plan,Essential,Physical SIM,Existing Account,1,,50,196.153.96.42,0
2025-11-16,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,5G Mobile Plan,Premium,eSIM via App,Existing Account,2,,165,163.209.182.7,0
2024-05-27,<PERSON>,<EMAIL_ADDRESS>,+61.7.6643.4420,5G Mobile Plan,Premium,Physical SIM,New Unrecognized Account,1,,562,5.29.115.88,0
2024-01-12,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,5G Mobile Plan,Essential,Physical SIM,Existing Account,0,,215,191.131.27.131,0
2025-12-12,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,5G Mobile Plan,Premium,Physical SIM,New Unrecognized Account,0,,85,59.188.230.81,0
2026-02-08,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,5G Mobile Plan,Premium,Physical SIM,Existing Account,1,,93,132.72.237.57,0
2024-09-21,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,0,,324,175.92.83.179,0
2024-05-16,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,NBN Fixed Internet,NBN Standard,eSIM via App,New Unrecognized Account,2,,584,87.151.171.87,0
2024-09-05,Chelsea York,<EMAIL_ADDRESS>,<PHONE_NUMBER>,5G Mobile Plan,Basic,eSIM via App,Existing Account,0,,92,144.29.76.113,0
2024-11-10,<PERSON>,<EMAIL_ADDRESS>,<PHONE_NUMBER>,NBN Fixed Internet,NBN Standard,Physical SIM,Existing Account,1,,492,124.148.149.249,0
